userName,komentar
Sergios juwali,Aplikasi mantap buat berkendara
Agung Wahyudiansyah,Sangat membantu untuk saya yang gak punya mtr dan mobil
Iksan gifar99,Apk angkutan online paling murah
Umar P,mantap untuk order makanan d daerah saya...
Megawati Najamuddin,Nice
Seno Suharyo,Nice
Ani Apriani,fast respon. Ojolnya ramah
Cornelia Paskila,baik
Upamie Dwi Darmayanti,bang maximnya baik dan ramah
Sabeh 2786,Gimana sih app maxim tu driver bikin bingung liat GPS... Trs sampai kapan maxim seperti ini trs... Yg GPS akurat
Nisah Wahdaniyah,dapet driver nya sangat baik ramah. .mantap
Fariz Act2011,Hebat
Siti Maesuroh,oke
Mutiah,driver baik ketepatan waktu baik
Mohamad Fauzi,driver sopan
Susi Rizka Anggraeni,abang nya baik dan ramah terima kasih bg
Septian Ramadhan,Ga bisa registrasi setiap registrasi ga bisa masukin otp
Dori Kurniawan,Titiknya tolong diperbaiki. Daerah kecematan pariangan sangat ssh
Aldi Pangestu,Bagus
Joko Priono,driver bertanggung sangat bertanggung jawab atas barang bawaannya...driver sangat ramah ...terimaksih
Elis Hitu,terimakasih sudah memperlancar
Bekti Sri Lestari,Abang nya baik hati dan berhati-hati sekali.
Sayyid Salman,ppk
Suhendra hendra,oke sangat membantu
Agus Sdm,good
Putri Yasmin,bagus
M Subur Wijanarko,good
Oktafianeka Prasetyo,baik
Siti Solekah,driver nya sangat cepat dan tepat waktu
Sri Haryanti,mantap
Brama Brama,sangat cepat dan pelayanan x baik
Semoy Dirga,driver sangatt ramahhhh
Widiantie Antie,Map nya gak jelas' menyesatkan. Dan bikin salah paham dg driver
Asmar Basir,Katanya terjangkau tapi kalo gak naikin harga orderan gak dapat-dapat drivernya gimana sih. Pokoknya perlu perbaikan lagi dan tolong dari pihak aplikasi beri biaya layanan ke drivernya yang sesuai lah biar bukan konsumen yang dirugikan.
Mhd Zikri,mantap
Kurniasih,Terimakasih sudah anter sampe rumah
bambang setiabudi,sip... kehati-hatian itu penting.
rudi_rutce,goodddddd
Galih Azis,"Cari titik susah, kode referal ngga di kirim kirim, melampaui jumlah permintaan malahan"
Belly Hatta Siti hawa,sangat membantu dalam perjalanan
Keynan Bramantya,"ramah,nyaman sepanjang jalan"
Andik Andik,lmbat
muhammad andika,mantab
sbl salsa,MAXIM LAH YG TERBAIKKKKKKKK!!!🥺😭😭😭💌
afdal ozhvaldo,bagus
bachtiar as,"lebih murah dan tetap nyaman, ditunggu versi pembayaran digitalnya"
Novita Sari,memudahkan perjalanan kita 🥰😅
Endah Pristiwi,terima kasih
Vivien Sevina,"ada yg ramah, ada yg cuek, okelah.. msh bagus pelayanannya & tarifnya murah juga termasuk cepet melayani orderan"
Amelia Sarosa,driver sangat cepat dan ramah
Rachel Dharmadipraja,"Ribet, tidak ada petunjuk lokasi driver, driver lama sampai, tidak bisa di tlp, driver ditanya konfirmasi barang tidak di balas"
Farli Moldi,"Nyesel instal nih apk harga suka naik turun, padahal rute ke tujuan sama kadang hargany suka naik malah naiknya gk ngotak lagi"
agus Riyanto,maaf saya buru buru mas saya cancel
Raihan Zaidan,"Dtng ke sklh'han saya untuk promosi, ngomong ny downld apk Maxim trus dpt saldo Maxim 100rb, bisa untuk pesan mkanan dan ojek nya, stlh di lakukan, trnyata tidak sesuai sama yang di katakan, ngomong nya jngn di gunakan untuk top up game, boro boro bakal game, bakal ojek dan makanan aja gabisa"
Yudi Asba,mantap pokok..orangnya ramah aku suka
Awang Langit,drivernya ramah syekali 🤗
khalifa sakhi,baik
Asep Solihin,Goog yes
Kiki rizky Yolanda siregar,driver nya gercep
Kayon Gen,driver nya ramah dan baik
Jerry Syahputra,kerennnn apk nya
Rafa Rafa,ramah
Nimreh Pusuy,👍
Rohani Rohani,sangat rama
Nengah Sumadra,"terima kasih mas sudah mengantar ibu saya sampai tujuan ,"
Dea Halimah,terbaik
Amat Arohman,mapsnya disempurnakan min
Fitri Susanti,mantap ...
Ayu Andira,sangat baik
Aditya Try Prasetyo,"Sudah beberapa kali ketemu driver yg bohong, tidak mau menunggu, tidak sabaran, bisa sampai ngomong kotor juga terkadang. Kapok pakai Maxim, percuma murah kalo pelayanan nol besar. Sangat tidak worth it"
Angga Budiarta,Map-nya tolong di update agar lebih baik
Nona Huan,Sejauh ini bagus
Trida 1286,bagus
Bambang irawan,Saya coba bintang 4
Herawati Sukarsah,baik sopan
fajar 123,Harga. Y terjangkau
Amir Mahmudi,bersih
Sanah helwa,baru ini pesan maxim mobil alhamdulillah bagus dn juga ramah
Agus Kenzie,mantap
SidiQ Pratama,Ia
Helmika Limbong,ramah
Khalisa Alexa,sangat ramah baik sekali... trimakasih maxim
Mesak Maniburi,Top
Meliana Lestari,baik
Ska09 Ska09,amanah
Mukarramah Nz,Tidak keberatan bawa penumpang 2anak dan sangat baik/hati2 dijalanan (tidak sembarangan).
Dinda Zhalia Kristi,pas
Moel Jaktur,sangat puas atas perjalanan nya dan ramah 👍🏻👍🏻👍🏻👍🏻👍🏻
dapo po,Makasih Atas Penjelasan Kakaknya Saya Kasih bintang 5 karena kakak Melany Ramah dan sabar
Jihan Andrean Channel,terimakasih
Yakob Ninggeding,pelayanan memuaskan
nelyan Sitania,pelayanan baik
Ancoe Naga,Terima kasihh kk.. blum di tinggal klu blum sampe tujuan.. keren2..
Gojek Driver,Cepat sampainya 🙏🙏
edo _,Titik jemput sama antar susah di cari
Wini Mandalalia,baik dan sopan
rizal qomar,masya Allah..👍
suci lestari,cepat & murah bapak kurir nya ramah trimakasih maxim🙏
adi siswanto,cepat penjemputan
Andra Fahrenzy,"alhamdulillah, mas nya ramah,👍"
Yuli Ardy,mksih maxim dan abang driver n dah cepat dan ramah
Parwoto Firma,murah meriah
Hendra Syahputra,mantap
HAERUDIN,mantap👍
Tasya Rashella,"ramah, baik, tepat waktu"
Evi widi lalenoh,ok banget
Martha Onggosetio,org nya baik.. pelayanannya memuaskan goodjob
Muhamad,good...tolong di buat menu foto supaya bisa lgsung ktmu
Puput Putriani,super ramah drivernha
Efi Sofia beni,"masakannya enak, abg kurir nya ramah🥰"
Nur Priyatna,Sangat membantu
Pardede Dede,Mantap
20_175_Nitia Ratna Ramdhani,Good good
Andreas Andrianto,Parah tidak memihak driver beneran. Sangat murah
Ahmad Najih,"cepat sampai, hati2 di jalan pa ga usah nerobos lampu merah"
Rima Tresnawati,terimakasih ya pak
Afmukta Project,"Layanannya tingkatin lagi, hampir berkali kali dirugikan,udah di kasih ongkos,food deliverny gak sampai"
Nabila Azizah,bagus
Rika Agustina,bagus
Raudzan Alfikri,panas bg ac gaidup
Safwan Iwan,cepat pengirimn
Indriawan 123,terbaik
Amin Mino,bagus driver nya ramah dah cepat Poko nya wort it banget deh buat Maxim
Lookman Hakim,driver asekk tau jln
Bos Kecil Fiqa,Pelayan Maksimal
Mastank samad,driver nya sopan
sheila saman,sangat sopan
Silva Andriani,MAU #ShopeeForMenGiveaway
Haniek Izma,ramah dan cepat
RRCpro Cirebon,mempermudah dan cepat...
rin soura,"mana a aa. AS a aa a saya🙋🙋, oo l f"
Bani Hulda,driver nya sangat ramah.. pertahankan ya bang
Zulfiana Nur Adila,baik
Muhammad Thoharuddin,gercep
Susan theresia,"udah ok, cm ada beberapa tempat yg belum kebaca di maps nya"
Amanah Husada,ok
liya rosalia,Driver nya ramah
Bayu Prasetio,mantaap drivernya
tarsib sip,driver baik...sopan.. pokoknya josss... kamsia..
naws cloud,cepet
Sipaling Oflaner,sangat membantu
Maryadi Yadu,semangat beh aje kendor
Khrisna W,baik ganteng.
sulis tiyono,mantaap cepat
Dev Vie,santun
Handi Ansyah,terima kasih banyak pa
Yanni Prasetyowati,pelayanan mantab
F2T “F2T Channel” Chanel,trjms maxim
Raden Dedi Supriatna,baik & ramah
dony sastra,"semakin membaik,hanya masih agak sulit untuk menemukan alamat saat ingin order"
Linggard Syazwi,santun
Indi Anty,sangatt baikkk
Ria Dewi,kurir bagus mau mengusahakan dan mau kurang lebih
Scylla ?,sangat membantu
Dedi Bramz0382,pengemudi baik sopan
Rizky aditiya 7D,mantap
MUHAMMAD FAQIH,ok
Muhammad Vadil,baik sekali
rani anggraeni,"salah alamat tujuan tp abg kurirnya gak marah, makasih ya bang 🙏"
Nazli haswiyani,driver yg profesional dan handal
Tiara Ramadhani,ok
Wirdah S.,"Tolong drivernya dikondisikan, minta lebih ongkos mulu pdhl kita lebih seneng ngasih lebih tanpa diminta"
Bangke Rodong,Sehat slalu bang ..
Anita Samija Harahap,cepat tanggap amanah
rasmillah kurais,"drivernya baik, semoga lancar rezekinya"
Haji Hermawan,cukup baik dan ramah
Nur Annisya,"Bagus bgt,, apalagi kalo di tambah fitur kirim foto,,jadi kalo mau jemput anak sekolah driver bisa tau muka anak yg di jemput"
Naila Rahma,"muter muter truss,, di bilangin ngga percaya tpi gpp yg penting sampe"
Vionna Inna,"Order telah dipenuhi oleh: Hairani M dengan Motorcycle, warna hitam, nopol KH5748QK. Terima kasih atas perjalanan Anda!"
Rizal Ahmad,baik alhamdulillah
MUHAMAD ZULFIKAR,"aplikasi sangat bagus, saya sangat suka!"
Rezky 6514,Good
Wina norimarna,Sangat bagusss
adhybairly adhy,pelayanan bagus
Awang Sari,Terima kasih....mantap.Semoga lancar orderan nya
Eliyana Yana,"terimakasih pak supir nya ramah, bawa mobil nya juga pelan standar🙏 terimakasih banyak🙏"
herman uye,bagus
Zul Hairi,Terbaik
Muffid Al kharis,driver sangat ramah
Diyana Wahyuningsih,terjangkau meski susahnya Krn hanya cash
Laurentius Laga Mukin,mantaabbb👍👍👍👍
Aisandro Nesta,bagus
Kinoso Woods,mantap
Hairil Anwar,om nya baik ramah makasih banyaknya dah anntar sampai tujuan
Husnul Khatimah,terima kasih ya
Wahyoe Witjaksono,driver ramah....
Rickie Hindarta,driver ramah dan loyal
Intana Agustin,sopan baik ramah dan penegrtian
But Galabut88,Kenapa maxsim NII lambat masuk kalau nak buka app nya
Sarah Sarah,bagus sekali
Abdul Khaidir,sangat ramah dan tepat
Ari jauhari,baik
andi puji firmansyah,mantap
Su Manto,Mantap...terima kasih
Aldi doni Saputra,ramah
Hafshoh Hanum Salsabila,Bagus
Riama Sihombing,"terimakasih, hati hati dijalan"
amelia amel,godd drever y
Septianne Nugraheni,pertama kali coba
Simeon Hendro,Terima kasih banyak Bapak 🙏 sudah diantar sampai tujuan.
darma putra umamit,"Terima kasih banyak, Ramah sopirnya, sehat selalu Dimudahkan rejekinya Amin."
Isna Isnawati,bagus banget
Topit Hidayat,Driver terbaik
Anna Esra,🙂
Anto Sukandi Anto,ok
Hamsia Olii,"Bapaknya ramah, terimakasih"
Nofi Mbc,ajib
Sam Suri,drivernya ramah
Pipit Hariyanti,baik sopan cepat penjemputan nya
Surya Dinata,cepat dan nyaman biaya terjangkau...drivernya ramah...
Khanza Aldy,sangat baik
Indra Maretha,sabar n ramah
Febri Febri,baik
Irakanliasari 77,makasih puas banget 👍👍👍🙏
Agus official,kerennn
Fadhly Muhamad,baik
Teguh Oreoo,bagusss
Alya qitink,driver sangat ramah dan tahu jalan banget...terimakasih pak slamet
Gilang Pratama Putra Sani putra,Ga jelas. Murah lebih enak grab ga lama. Malah minta uang tambahan
Ahmad Yusuf,keren
Bambu KUNING,mantap🥰
Faturs Rahman,Bagus fitur nya bisa mesen makanan
Wini Wini,membantu sekali
Efran Efran,sangat cepat dan tanggap
Irwan Bumulo,"Semoga kedepan aplikasi Maxim khususnya untuk Maps nya lebih baik lagi, karena dalam beberapa kesempatan untuk mencari lokasi tujuan sering tidak muncul walaupun di Aplikasi yg sejenis muncul, terpaksa dilakukan pencarian langsung lewat peta."
fer lando,ok
Saha,Mantap bgt
Rudi sastra Saputra,"sangat ramah dan sopan, Terima kasih abg maxim"
Gusriantoni Toni,Ramah
Herianto sidik,lebih praktis dan cpt
Alam Syah,lebih di tingkatkan lagi aja 👍
Harianto Lumban Raja,gooo
Arif Marzuki,cepat dan murah
kole kole,trimakasih
Indriani Widyastuti.S.Pd.,terimakasih
Agung Cahyo Nugroho,terima kasih maseh
Diestydesti Supardidesti,cepat dn amanah
Usman Jaman serang,driver nya sangat ramah
Erfiana Dewi,supir nya selalu membatalkan tanpa alasan
David Nduru,ok
Anita Yuliana,"driver baik,sabar menunggu"
Rangga Maulana,Sangat puas dengan pelayanan driver maxim. Semoga untuk kedepannya lebih maju lagi
ujang naswari,"Baru beberapa hari sih aku unduh, cuma aneh petanya!? Susah ngepasin titik lokasi rumah dan aku coba ketik stasiun kereta api Pemalang ngga muncul ! Saran : untuk peta kopas aja map Google!"
Rudi Mustofa,mantap.
Rubianti Panjaitan,mantap
Amy Rahmi,masnya ramah baik
Dena Febrianty,alhamdulilah..trmksh byk pak
Adelia Febrianti,Semoga untuk food nya lebih ditingkatkan lagi apalagi khusus di batam
suriansyah majid,pengemudi sqngatbramqh dan baik.
Yanny Nduru,terima kasih pak..
Jenal Arifin Yusuf,"terima kasih ,sukses selalu untuk Maxim,pelayanan terbaik"
Sutrisno Nadif,baguss
Rini Susanti,bagis
novi84 HSB,good 👍👍👍👍
yessa mardiana,ok
Misbah Akbar,okee makasih
Entis Entis,sangat baik
Wina Windianasari,bagus
Scary,semoga rejeki nya lancar trus pak amin😇
April,mksh👍
Robi Hartanto,tepat waktu
Rano kristian,penjemputan sangat cepat dan driver nya juga ramah.. terimakasih maxim
Bening Berlian,mantap
Mella Mel,Harga sesuai kantong
Editha Aguw,ramah
Silver Surfer,"titik dimana jemput dimana 😐 padahal ada maps tp malah gini ""a abis ini belok kemana?"" itu gunanya hp buat apa.. lokasi masih jauh tp udh diturunin ditengah jalan haha .. anj"
Muhammad Raffi,cukup patennn 👍👍👍👍
Intan Riyadi,good job
Galih Aji pangestu,cepat mengerti
suprayitno cibr,istimewa terbaek
adrianaulia,maxim sekarang banyak yg bayar diluar aplikasi mana bayarnya bisa 2x lipat dari harga di aplikasi lg hdeh
Putra Jakartama,"Mengenai ulasan positive buat aplikasi yang satu ini sangat membantu warga negara kesatuan Indonesia secara leseluruhan karena prosedur awal hingga akhir buat merasakan fasilitas jasa nya sangat lah mudah dan penggunaan sistem nya secara online juga mudah dipahami oleh warga tingkat bawah, menengah maupun tingkat atas jadi saran dan masukan saya secara pribadi, teruslah berkarya untuk mempermudah urusan orang banyak dan ciptakan lapangan kerja sebanyak mungkin👍"
Dwiz Ardiyan,siiip
Aldi Aldi,pelayanan super ramah
Hendri S,buruk
Ardi Malotung,"Orangnya Ramah dan asik di ajak bercerita, semoga bertemu lagi"
Amara Fata,"Murce sih, tapi alamat nya gak lengkap :( Next tolong lengkapin ya kakak maxim sayang"
Fitria Ayu,Aplikasi nya jadi lebih hemat dan ongkir bisa nego
Yulita Doa,"harga murah, driver ramah"
Intan Nurkamila,baikkkkk bgt Abang nya sabar bgtyt
Raditya Ramadhan,banyak drive maxim yg pelecehan dan lain' mohon tindak ke amananyaa
Masteg,"pengalaman pertama pakai ojek maxim, menyenangkan"
Dina Oktaviana,makasih kakanya ramah..
Rut Adelina,bagus. Supirnya ramah.
Love panda,Tolong di perbanyak driver di bagian bau bau pas malam hari
Amin W M,sangat membantu
amin isnawati,sangat oke
Ogi Putra,good
aley chehab,Ini skrg idola kami.. Karna paling murah diantara yg lain
Lambertus Angga,Aplikasi sangat bagus dan membantu dan titik lokasinya mudah ditemui
Dodi Sugara13,ok mantap jiwa
sopenk aguero,Sangat Bagus
MAHATIR .LK.RANTELIBU,keren
DS Cibeureum (Dts),Fery good
ocu rais90,Aplikasinya sangat membantu
Fauzan Aufandi,kalo bisa map / titik jemput & tujuan di update lagi biar presisi + tambahin fitur foto biar mudah ngasih patokan ke driver
Ari Setia Gumbira,Tempat mencari nafkah walaupun sedikit tetap bersyukur
aryaya nanda,Aplikasi trasport yg mudah dan ringan di ongkos
Ayu Sumiati,Very good
Lili Yaya,membantu transportasi lebih mudah dan praktis
Indra wijaya,Aplikasinya bagus sekali respon nya juga cepet very good pokonyah
Alrita Dien,Maxim keren siii👍🏻
Angga Saputra,VERI GOOD
Rap Rep,Aplikasi yang bermanfaat mempermudahkan untuk pergi kemana-mana
Johan Haris Tian,Maxim is the best..harga terjangkau
Defirman Drakkar,Terbantu sekali
Anggit Eko Prayitno,"Sangat bagus,driver sudah banyak,tarif relatif murah dari apk ojol yg lainya..."
Mom Syakaro,Mantap nih apps sangat mmbantu
W Alaski,aplikasi transportasi online yang revomended banget 👍
indonesia Srirejeki,Very good
520 Muhammad Lutfi Adit Harahap,Menyusahkan driver orderan kaga pernah adaaaa
Harus Bisa,Keren....
Oppo A12,Verry good
Arky Franka,Murah parah
Rizka Muliani,Sangat baik
Rifal Afka,"Josss, sangat terpercaya"
Kakek Salto,"Ga ada fitur nelpon driver, jadinya kita gatau itu sudah sampai apa belum, taunya diembat barang kita, dibilangnya udh nyampe, lucu li, semoga kedepannya di update ada fitur nelponn driver🙏"
Alex UTAMA,Ok
Suri Palao,Bgs pelayanannya
azizah yuni saputri,Baik
umbara Pratama,Susah banget nyari alamat d JKT aja sampe sejam ga nemu
mitha idris,sangat terbaik
Pratama Arief,sangat baik
dewi sri,baik sopan sabar
Dewi Agustina,lebih cepat dan murahhh
Sinar HR Sinar,bagus banget
Maher September,mantap
Fernando Pasaribu,Aplikasi nya sangat terjangkau
Ibes A,sangat baik sekali
huwaida salma,"APLIKASI JLKKK, KATANYA DAPET 100 RB TRNYTA HOAX"
Alkhafidh junior,memuaskan
Dinda Azzahra,drivernya ramah
Bani Amri,baik
vian putra Nino,mas nya ramah
Yusril AbdJalil,Kurir baik sabar walau banyak hambatan di jalan
Muliyana Muliyana,good job
Nur Hidayati,"semangat kerjanya pak , hati hati di jalan 👍"
Ismail Septiani,pengemudi handal. keamanan terjamin. terimakasih pak...smg sehat selalu 😃🙏🏾🤲
Tunggal DJL,"komunikatif and safety driving, , , terimakasih 👍👍"
Naufal Hakimi,bagus pak
wisnu Pratama,"Kecewa sama pelayanan Maxim di area Kalimantan Timur, harga yang tertera tidak sesuai, dan barusan pesan Maxim pelayanan nya kurang bagus sekali, biasanya saya pesan Maxim untuk orang terdekat saya namun hari ini salah satu driver nya mengatakan selain yang pesan langsung tidak boleh naik, karna posisi lagi hujan deras saya pesan Maxim untuk keluarga saya otomatis yang naik bukan saya, segitunya pelayanan Maxim, perlu di spill ngk nih orang nya wkwk"
ajjun yonathan v_klip,good
rizen galuh,bagus
Yuli Rachmat,ok
Wiji Suryahandaya,driver ramah. terimakasih maxim
Irawan Avrilyo,bagus amanah kurirnya
abdul akib,ramah dan berhati-hati dalam berkendara
OliviaSisilia KorwaRumbiak,terbaik
maulana Saputra,mantep
Hikma Yanti,sukses selalu
Asnahh,sangat baek
Pecinta Gadget,drivernya baik
Estik masitah Masitah,mas nya ramah poko nya jos deh mksh mas maxsim
Bernardus Radu Bani,mantap
Bair Scorpio,mantap
Rahmad Syah,sangat ramah dan baik juga tepat waktu
sumadi rock,baik banget
Edo Mobile,biasa
Dedi dedi,"drivernya ramah,on time, enak diajak ngobrol"
Juwita Suci Liana,ok bnget
Fiola Fiola,sangat baik sekali
Paris Satriana,driver ramah
Chanel Ogifisika,"mantap, pelayanan baik"
iqbal ramad,sangat puas
Andi Ferry,"terima kasih, semoga d beri kesehatan dan d lancarkan rezekinya"
UUS SUWARA,Susah banget order nya.. titik maps nya ga lengkap
Ayu Indah safitri,sangat ramah
Indah Fajarningsih,ok
Apri Zal,mantap
nona anisa,Pelayanannya oke
yuli ana,nyaman sesuai tujuan sangat membantu saya sekali
Cavin Banov,good
Imam Sodikin,baik
LIBET ASTOYO,Cukup bagus perlu ditambah dengan pembayaran ewallet seperti aplikasi tetangga.
Echand Phocker,baik skali
Dik jr. Official,okee bgt
Rizal Nurdin,baik tepat waktu penjemputan nya Rama
Kaharudin Har,Sangat senang
RheXyo,bagus dan ramah
Vani Amad,Sangat baik
Ma Ya,pelayann mantap ok bngt👍👍👍
Firman Anshor,baik
fransiscaary hartuti,Matur nuwun..
PANGERAN ERDOGAN,cepat dan Amanah
RIDH0,gas keun bang
Rizal J.Niarto,cepat dan aman
Sarifah Zainabun,👍
Syawaludin Ahmad,mantap
Adhi Prayoga,mantap jiwa KK.
sun moon8888,bagus drivernya
Anita Anwar,makasih...drever nya sangat baik dn ramah...
Fawwaz Faadhilah Braliana,"kualitas driver buruk, saya sudah berkali-kali terkena masalah dengan driver. Masalah yang saya alami adalah driver salah bawa penumpang. Tolong diperbaiki lagi kualitas drivernya karena sangat merugikan bagi penumpang"
Thetaugagaya Daengtompo,oke saya suka pakai maxim
Yana kancil,ramah orang nya
Zahra Fauzi,sangat bagus
Dhiadara Batrisya,👍
Hamdani Santoso,mamasih masnya :)
Memey Maysaa,baik sopan ramah
Apri Panuju,terima kasij
Andiwahyudin Wahyu,baik
Ruslianto Rudi,mntap skli
Tyo 0515,driver nya ramah dan peduli
Lili Sri Rezeki,Maxim sangat mudah dan membantu ..dan terpercaya
Aulia Rahma,sangat baik
Dewi Sari,supirnya ramah
Ariarhco Arhco,sopan dan damah
Megawati Widjaja,alamat lokasi hrs lebih diupdate
Meldy Fangidae,pelayanan baik
Bakso Watukelir,makasih driver.......
Iwa Myshaa12,Jelek
Endri Purnomo,"matur nuwun mas,semoga sehat selalu lancar rezekine Aamiin"
pitri Ani,terimakasih
Teguh Setia Permana,Ramah dan tepat waktu
Arfa official,bagus mantap
Desvita Nora,sangat profesional.
Veri Kristanto,pelayanan baik ramah
Taufiq Agus,sangat baik
Cci Ishak,driver yang ramah
Ayah Fatih,ramah dan baik
Arif Santoso,mantap
arsyad ja,sangat ramah
Agung Arifianto,top
Aliqa Dinda,pokoknya enak dh driver y...baik dn sabar
afnan naviz gunawan,trimakasih 🙏
Herman Fadillah,mantap
syaiful rizal,map kurang lengkap
Lilye Eddy,Pelayanan Bagus
Raka jaya Motor,sangatantap
adisti purwantiningtyas,terimakasih banyak mas 🙏
Qotrun Nada,"terima kasih ya kak, sdh anter anak ku smpe rmh dgn selamat"
Oon Zamroni,"sukses selalu, mase"
Maman Sulaeman (Omeno),Alhamdulillah..good ... amanah
Meliwati Panjaitan,Bapak drivernya ramah naik motor juga tidak ugal ugalan
Lilik Jumi karnina,good
ANTA SUTIADI,Sesuai titik penjemputan Mantap. tepat dan cepat.
Elvi Souwmeylin,ramah&sopan
Duarsa Nyoman,"cara berkendaranya bagus,sopan,ramah"
muhammadjovi saputra,mantap
Daus,"susah nyari alamat tujuan nya,, alamat yg di tuju ga ketemu di aplikasi ini, padahal di google maps & aplikasi lain alamat nya ada,, yg bikin pelanggan pindah ke aplikasi lain karna tampilan maps nya ga jelas susah di baca & susah cari alamat tujuan nya juga, padahal udah bagus banget ongkos nya paling murah. saran : perbaharui lagi tampilan maps nya biar pengguna ga bingung."
Sugiarto Giarto,good
Marlina Kora,sangat mempermudah perjalanan
Vita Sar,"pak makasih iya, mudah rezeki nya, terimakasih sudah amanah♥️"
moh ihwansyah,best driver
Deni Iqbal,"Sering dapat driver yg meminta pembatalan karena alasan aneh mau makan, mau pulang dll. Apakah aplikasi untuk driver tidak tersedia fitur off atau gimana nih"
Emy Wahab,pengiriman cepat
Chiara vania Khalfani,driver baik sekali
Dara Yunadia,sangat puas dan sangat terbantu sekali.. drivernya juga baik
Alex Safarie,Terimakasih. pelayanan ok. cara mengemudi sangat halus
Hertha Yudhatama,mantap👍
Akbar Akbar,good
Farhan Rama,sopan
Syahrullah Ullah,Tolong lah pihak developer dikembang kan lagi apk nya kurang spesifik kita pesen makanan lama banget yang ada udah kelaparan itu pun belum tentu datang
M Indra Maulana,bagus
Siti Fatimah,terimakasi sudah membantu disaat kondisi sulit... semoga tambah jaya maxim... 👍🏻👍🏻🙏🏻🙏🏻
Lutviana Agustina,masya Allah
shandy musa shandy musa,Saya puas dengan apk ini karna dengan adanya apk mexim perjalanan saya jadi lancar
Siti Kosmawati,drivernya baik
Zyrah's Gaming,baik ramah
Ilyas Almahdi,kece kerja cepat
Dina Ira wati,Alhamdulillah
Kayla Zahra,mantul:mantap betul tul tul tul
suwandirientis rientis,good
Zara Dewi,menyenangkan
Raysa Putri nabila,supir nya ramah jossss
Dahlia Susanti,terbaik selalu tingkatkan
Abbas Baso,mantap
Jhonathan Jhonathan,driver good
Jmix 123,"respon cepat,bapaknya ramah"
20.082.Gilang prasetya,👍
Dewi Iyang,orng nya sabar n ramah ..thank buat abang nya panas2 anter barang ..jauh lg ..maksih maxsim
Hans On 7,thanks bro🙏🙏
rama fadila,keren
Agung Prayogo,"Tidak sesuai, tidak bagus"
Theo Sahuburua,mantappp
Nur Hosem,mantabbb
The “Lazyers” Mardian,nice
Merri Christanti,baik
Angelleka Jhonsaw,Ramah dan cepat
Ida Farida,ramah
Ac bdg,baik
Luchman Farit,driver ramah
Igun Anggara,pelayanan sangat baik. terima kasih
Ari Yanto,trimakasih ya pak
Dina Sakinah,driver nya baik bgt
RLambang Pamungkas,masih perlu banyak perbaikan untuk Maxim yang rilis di tengah tengah ketatnya persaingan aplikasi serupa . tetap semangat dan jangan melupakan keluhan pelanggan karena fokus kalian jasa harus mengutamakan pengguna . sesuatu yang besar di mulai dari hal hal kecil yang mungkin kita anggap biasa . bisa jadi satu keluhan yang kecil tanpa adanya followup yang baik akan menjadi besar di waktu mendatang 🫰
Diyan Andriyansah,orang ya ramah dan bawa kendaraan nya cukup baik
Emi Boi,enak
ibnu nadhira,"Pengemudi: Machfud Hidayat dengan Motorcycle, warna biru, nopol BP2126UJ. Selamat menikmati perjalanan!"
Rendi Prasetia,layanannya bagus
dedi suryadi,"Toplah, Jaya Terus bang Ojol... Hidup Maxim..."
Deasi Bahoriputri,supir nyaa baik dan rama sekali
Faisal Algani,baik
Syafrianto,good
Riatu Kurnia,Dua dulu untuk retingnya. Karma tempat penjemputan dan tujuan belum banyak tersedia dan malahan banyak tmpt tujuan tidak ditemukan.
Suparmo Parmo,baik
PixelDog,Gua korban monas1
Ema ade Apriati,barang sampai dengan tepat waktu dan baik
indra barasakti,Excellent n sopan
Felintas Djah,pelayanan baik
Iin Inayah,"ongkosnya murah, cepat, ga banyak omong kaya driver sebelah, semoga titiknya makin banyak dan lebih jelas"
Aswin Chabu,sangat mudah dan praktis
Paul Matthew Jonathan,"murah, mantap"
HFTI Trans,Nice
ariyo Pambarto,ramah tepat waktu
Mahmudah Hasanah,mantap
Mamat Mamat,baik
Julia Ratnasari,maxim tarif terjangkau..ramah dikantong...
Taffandi 23,orangnya baik ramah
Febri Andika,terbaik saya merasa puas dengan pelayanan nya
Oke Saliwu,Terimakasih
Reni Sufriani,👌👌👌
nurhayati ashari,bagus n nyaman
Santi Uli sinaga,tiba tepat waktu
Vina Oktaviana,good job..nice person
Tony prijanto Prijanto,Drever kurangprofisionsl Menggenai jalan kurang tau
Mita Zahro,sangat sopan
khandiaz Samiu,hebat
Nitri Safitri,tidak fokus
rozak23 bagsumda,mantapp
Nanda 18,mantap. tepat waktu
Lala Nurmala yusup,"Harga terjangkau, tapi driver pada judes!"
Ari Fadillah,ok
Tarman Gombonk,Pelayanan bagus
Rianti Simarmata,mantap
Adrio Adrio,Alhamdulillah memuaskan
Pratiwi E. Tuliabu,"Suka aneh sama Maxim, tiba-tiba saja mesen sendiri padahal saya tidak lagi memesan. Ini tolong dong erornya diperbaiki, merugikan saya dan juga drivernya"
Ratna Yulita,sangat baik dalam perjalanan
Milla Cantika28,baik ramah
Santi S,Trima kasih pelayanan Drivernya sangat baik & ramah
Dian Setyadi,on time
Nanda Nur Baiti,solusi sih
Roster Serang,pelayanan bagus dan ramah
Tiara Kalangi,Bagus
Ilham moenir mauludi,"Dpt pengalaman buruk, ga sopan drivernya 👎👎"
Umar bahsyan Musthopa,good joob
Christin Samara08,👍🏻
